9-Dec,Nb275 left Lawrence a couple minutes late. Looking out for trespassers up ahead. T17:43
9-Dec,Trespassers allegedly on #3 track near Lawrence. Looks like 373 being slightly delayed. T17:38
9-Dec,Report of trespassers around Lawrence. Nb373 told to look out. T17:25
9-Dec,3rd ave crossing back in service. T08:43
9-Dec,Nb225 left MV about 7 minutes late T08:14
9-Dec,Trains are protecting 3rd Ave crossing in San Mateo due to malfunction. T07:53
8-Dec,Nb197 left MV 7 minutes late. T22:57
8-Dec,Transit police at MV. Reason unknown. T22:55
8-Dec,SB 270 departed Cal Ave 8 min late T17:50
8-Dec,Sb220 left RWC 6 minutes late T08:25
7-Dec,SB266 left MP 6 min late T17:34
7-Dec,NB 329 is running 12 min late T08:41
7-Dec,NB221 8min late @ San Mateo T08:15
7-Dec,NB225 won't go over 50mph so conductor trying to fix at Sunnyvale station. 9 min late and still not moving T08:10
7-Dec,Announcement that NB221 is 10 min late T07:25
6-Dec,Nb139 departing MV 19 minutes late with psgrs from 135 T10:48
6-Dec,NB 139 departed MV 18 min late and crowded T10:48
6-Dec,Passenger transfer to nb139 nearly done at MV. T10:44
6-Dec,Nb135 restarted somehow. Going back to MV to xfer to rescue train. T10:33
6-Dec,"NB135 will off load passengers to NB139, expect NB139 to be delayed N of MV T10:07"
6-Dec,Rescue train said to have departed sj to pick up nb135 passengers T10:05
6-Dec,NB 135 passengers will transfer to a rescue train on SB tracks T10:05
6-Dec,Nb 135 : conductor & engineer saying engine dead. Still stopped n of MV T09:44
6-Dec,Nb135 lost power & lights. Stopped just north of MV station. T09:40
6-Dec,NB 135 departed Santa Clara 5 min late T09:21
6-Dec,SB322 Conductor reported we had hit a shopping cart. T08:52
6-Dec,What's the status of sb322? T08:48
6-Dec,"SB322 @ RWC, conductors inspecting underside of 1st car; 6m down and counting T08:37"
6-Dec,SB322 Still throwing rubble as we approached RWC. Must be dragging something beneath. Freaky. T08:36
6-Dec,"SB322 hit a crapload of gravel (?) near Belmont, very loud; still moving tho T08:32"
6-Dec,"SB322 5m late dep 22nd, no reason given T08:10"
5-Dec,SB 280 departed Cal Ave 7 min late T18:49
5-Dec,Nb285 11 minutes late per sign T18:45
5-Dec,NB383 leaving MV down 8 mins T18:45
5-Dec,"Gate malfunction (ie, broken off) just south of RWC. Trains slow in both directions. SB230 currently stopped. T09:25"
5-Dec,SB226 arrived menlo 8 mins late. Construction by tracks in RWC T09:06
5-Dec,"SB226 stopped in the middle of Maple st, RWC; no reason given T08:59"
5-Dec,NB 211 moving arriving at MV 6:44 T06:46
5-Dec,NB 211 having mechanical difficulties sitting on tracks between Santa Clara and Lawrence T06:37
3-Dec,"Please keep opinions off the feed. If you don't want to see, don't look. T13:55"
3-Dec,Next time it would be nice if they covered the whole body so passengers don't have to see a lifeless hand. T13:45
3-Dec,NB433 stuck at San Antonio due to fatalities ahead. No estimate given. T13:36
3-Dec,SB train just left PA heading to Cal Ave. T13:35
3-Dec,Just saw the cleanup crew from SamTrans. Oak Grove crossing (Menlo) is blocked by the engine car. T13:27
3-Dec,Another trespasser struck north of Menlo Park. Expect more delays. T12:17
3-Dec,trains are single tracking now at incident site T12:12
3-Dec,NB429 rolling north slowly. Still picking up NB427 above Cal Ave. T12:01
3-Dec,NB429 stopped at San Antonio waiting on fatality at Cal Ave. will pickup nb427 passengers T11:49
2-Dec,NB267 is 5 minutes late at San Carlos T17:35
1-Dec,NB373 dep MP 6m late T17:53
1-Dec,NB267 is 9 minutes late at San Carlos T17:38
1-Dec,NB 135 departed Santa Clara 5 min late T09:20
1-Dec,NB221 5 min late @ San Mateo T08:12
1-Dec,SB314 running about two minutes down since 22nd T07:54
30-Nov,Caltrain considering fare increase http://holierthanyou.blogspot.com/2011/11/caltrain-fare-increase-coming.html T13:07
30-Nov,NB 135 departed Santa Clara 6 min late T09:21
30-Nov,SB 332 departed SF 4 mins late. T09:03
30-Nov,Sb220 left sc 7 min late 8:20 T08:21
30-Nov,Sb218 left sc 5 min late 8:12 T08:19
30-Nov,Sb216 sluggish start left San Bruno 3 minutes late T07:36
30-Nov,NB211 dep. MP 10m late after stopping for stranded NB207 pgers at PA T06:56
30-Nov,NB207 now an express train from PA to SF due to mechanical problems. T06:44
30-Nov,Trains slow thru SF 16th crossing T06:41
29-Nov,Sb 288 arriving 13 min late to menlo park T19:48
28-Nov,"SB 382: Loud dude 2 all on 2nd car from front ""people are zombies!"" (Please send help!) T18:44"
28-Nov,NB233 down 14 minutes leaving SV T09:10
28-Nov,NB227 21 minutes late leaving Santa Clara T08:24
28-Nov,Sb216 left Menlo Park 8 minutes late T08:06
28-Nov,Trains are protecting Mission Bay Dr in SF for a malfunction T08:01
28-Nov,"Police activity cleared at Mission Bay crossing, but there's a gate issue T07:59"
28-Nov,SB 314 passed SB 210 using NB track T07:56
28-Nov,Police activity at Mission Bay crossing in SF T07:52
28-Nov,"SB 314 ssllooowww at San Carlos, will pass 210 near RWC (if I understood correctly) T07:50"
28-Nov,SB312 arr RWC 17m late T07:48
28-Nov,Sb216 left San Mateo 5 minutes late T07:48
28-Nov,"SB 314 about 2 minutes down at Hillsdale, but could be delayed ahead T07:42"
